"Call to memory access function may overflow buffer","Incorrect use of a function that accesses a memory buffer may read or write data past the end of that buffer.","recommendation","This 'memset' operation accesses 40 bytes but the [[""destination buffer""|""relative:///subsys/bluetooth/host/sdp.c:82:39:82:42""]] is only 8 bytes.","/subsys/bluetooth/host/sdp.c","1887","8","1887","13"
"Comparison of narrow type with wide type in loop condition","Comparisons between types of different widths in a loop condition can cause the loop to behave unexpectedly.","warning","Comparison between [[""idx""|""relative:///subsys/bluetooth/host/sdp.c:787:74:787:76""]] of type uint8_t and [[""attr_count""|""relative:///include/bluetooth/sdp.h:290:27:290:36""]] of wider type size_t.","/subsys/bluetooth/host/sdp.c","790","9","790","32"
"Comparison of narrow type with wide type in loop condition","Comparisons between types of different widths in a loop condition can cause the loop to behave unexpectedly.","warning","Comparison between [[""att_idx""|""relative:///subsys/bluetooth/host/sdp.c:472:10:472:16""]] of type uint8_t and [[""attr_count""|""relative:///include/bluetooth/sdp.h:290:27:290:36""]] of wider type size_t.","/subsys/bluetooth/host/sdp.c","548","23","548","50"
"Suspicious pointer scaling to char","Implicit scaling of pointer arithmetic expressions can cause buffer overflow conditions.","warning","This pointer might have type [[""bt_hci_evt_hdr""|""relative:///drivers/bluetooth/hci/h4.c:135:31:135:37""]] (size 2), but the pointer arithmetic here is done with type uint8_t * (size 1).","/drivers/bluetooth/hci/h4.c","138","52","138","54"
"Suspicious pointer scaling to char","Implicit scaling of pointer arithmetic expressions can cause buffer overflow conditions.","warning","This pointer might have type [[""bt_hci_iso_hdr""|""relative:///drivers/bluetooth/hci/h4.c:121:31:121:37""]] (size 4), but the pointer arithmetic here is done with type uint8_t * (size 1).","/drivers/bluetooth/hci/h4.c","124","52","124","54"
"Suspicious pointer scaling to char","Implicit scaling of pointer arithmetic expressions can cause buffer overflow conditions.","warning","This pointer might have type [[""bt_hci_acl_hdr""|""relative:///drivers/bluetooth/hci/h4.c:107:31:107:37""]] (size 4), but the pointer arithmetic here is done with type uint8_t * (size 1).","/drivers/bluetooth/hci/h4.c","110","52","110","54"
